DateTime,Lat,Lon,Base
"6/1/14 5:56",40.6646,-73.9374,"B02598"
"6/1/14 5:56",40.6942,-73.9593,"B02682"
"6/1/14 5:56",40.7405,-73.9982,"B02682"
"6/1/14 5:57",40.7033,-73.9324,"B02617"
"6/1/14 5:58",40.7643,-73.9776,"B02682"
"6/1/14 5:59",40.6449,-73.782,"B02682"
"6/10/14 4:00",40.7052,-73.9432,"B02598"
"6/10/14 4:00",40.7212,-73.9557,"B02598"
"6/10/14 4:00",40.7353,-74.0008,"B02598"
"6/10/14 4:00",40.7665,-73.9783,"B02598"
"6/10/14 4:01",40.7483,-73.9889,"B02682"
"6/10/14 4:01",40.7618,-73.9828,"B02598"
"6/10/14 4:01",40.7641,-73.9812,"B02682"
"6/10/14 4:02",40.7256,-73.992,"B02598"
"6/10/14 4:02",40.7502,-73.9734,"B02617"
"6/10/14 4:02",40.7719,-73.9633,"B02598"
"6/10/14 4:02",40.7843,-73.971,"B02598"
"6/10/14 4:03",40.7406,-73.9795,"B02682"
"6/10/14 4:03",40.7437,-74.0067,"B02617"
"6/10/14 4:03",40.7807,-73.9484,"B02617"
"6/10/14 4:04",40.7419,-74.0036,"B02764"
"6/10/14 4:04",40.7642,-73.9558,"B02598"
"6/10/14 4:05",40.7139,-73.9922,"B02682"
"6/10/14 4:05",40.747,-74.0308,"B02617"
"6/10/14 4:05",40.7492,-73.982,"B02682"
"6/10/14 4:06",40.6452,-73.7808,"B02598"
"6/10/14 4:06",40.748,-74.0009,"B02617"
"6/10/14 4:07",40.7137,-74.0067,"B02682"
"6/10/14 4:07",40.7307,-73.9808,"B02682"
"6/10/14 4:07",40.7329,-73.9939,"B02682"
"6/10/14 4:07",40.7608,-73.9985,"B02617"
"6/10/14 4:09",40.7418,-73.9804,"B02512"
"6/10/14 4:09",40.7435,-74.0001,"B02598"
"6/10/14 4:09",40.7484,-74.0019,"B02598"
"6/10/14 4:10",40.6659,-73.8068,"B02617"
"6/10/14 4:10",40.7387,-74.0091,"B02598"
"6/10/14 4:11",40.732,-73.9999,"B02682"
"6/10/14 4:12",40.6879,-73.9552,"B02598"
"6/10/14 4:12",40.7273,-73.9808,"B02512"
"6/10/14 4:12",40.7353,-74.0098,"B02617"
"6/10/14 4:12",40.745,-73.9842,"B02598"
"6/10/14 4:12",40.7843,-73.9711,"B02682"
"6/10/14 4:13",40.674,-73.9683,"B02682"
"6/10/14 4:13",40.6852,-73.9915,"B02617"
"6/10/14 4:13",40.6899,-73.9813,"B02617"
"6/10/14 4:13",40.7175,-74.0108,"B02617"
"6/10/14 4:13",40.7374,-73.9838,"B02598"
"6/10/14 4:13",40.7408,-73.9799,"B02682"
"6/10/14 4:13",40.7661,-73.9873,"B02764"
"6/10/14 4:13",40.7735,-73.9596,"B02598"
"6/10/14 4:13",40.8071,-73.9649,"B02682"
"6/10/14 4:14",40.7114,-73.9531,"B02598"
"6/10/14 4:14",40.7436,-74.0021,"B02682"
"6/10/14 4:14",40.7742,-73.873,"B02682"
"6/10/14 4:14",40.8232,-73.9406,"B02512"
"6/10/14 4:15",40.7234,-73.981,"B02598"
"6/10/14 4:15",40.7732,-73.9547,"B02598"
"6/10/14 4:16",40.6438,-74.0806,"B02682"
"6/10/14 4:16",40.7157,-74.0154,"B02682"
"6/10/14 4:16",40.7306,-73.8524,"B02598"
"6/10/14 4:16",40.7325,-73.9959,"B02682"
"6/10/14 4:16",40.7451,-73.9787,"B02598"
"6/10/14 4:16",40.7602,-73.9668,"B02682"
"6/10/14 4:16",40.7631,-73.9802,"B02598"
